,index,business_activity_2014,user_activity_2014,review_activity_2014,mean_stars_2014,std_stars_2014,business_activity_2013,user_activity_2013,review_activity_2013,mean_stars_2013,std_stars_2013,business_activity_2012,user_activity_2012,review_activity_2012,mean_stars_2012,std_stars_2012,business_activity_2011,user_activity_2011,review_activity_2011,mean_stars_2011,std_stars_2011,business_activity_2010,user_activity_2010,review_activity_2010,mean_stars_2010,std_stars_2010
0,89102,587.0,7651.0,9958.0,3.780879694717815,1.4301689049560724,528.0,4893.0,6637.0,3.7908693686906734,1.3379812758316119,432.0,3546.0,5147.0,3.7853118321352244,1.2777635417319462,368.0,2789.0,4114.0,3.8014098201263975,1.2084828447498828,283.0,1694.0,2691.0,3.79041248606466,1.1740364461991337
1,85050,163.0,1200.0,1523.0,3.5686145764937622,1.4710477410593967,159.0,804.0,1140.0,3.617543859649123,1.391447955359178,128.0,566.0,788.0,3.5723350253807107,1.302366579905213,107.0,474.0,689.0,3.6429608127721336,1.2354786521488816,84.0,280.0,387.0,3.65374677002584,1.1801489183095533
2,85257,210.0,1888.0,2375.0,3.946105263157895,1.3860998287766093,207.0,1244.0,1639.0,3.933496034167175,1.2965981289560562,174.0,915.0,1150.0,3.8504347826086955,1.3461981998275947,146.0,834.0,1107.0,3.8401084010840107,1.2566996541689304,125.0,604.0,851.0,3.856639247943596,1.1512192964541443
3,15234,37.0,114.0,133.0,3.7218045112781954,1.4789092185276826,33.0,79.0,104.0,3.6538461538461537,1.312887803229415,28.0,48.0,69.0,3.550724637681159,1.4806222051006122,18.0,27.0,35.0,3.742857142857143,1.093909802251623,10.0,15.0,19.0,3.3684210526315788,0.8306975860878396
4,85260,626.0,3937.0,5592.0,3.785228898426323,1.4806363534878848,588.0,2599.0,4046.0,3.7345526445872466,1.386756140565446,440.0,1630.0,2581.0,3.637737311119721,1.3663004405175692,383.0,1290.0,2357.0,3.654221467967756,1.2940359628589182,264.0,794.0,1345.0,3.744981412639405,1.198811609139578
5,89119,747.0,9640.0,12814.0,3.5726549086936163,1.4694224165814815,704.0,6532.0,9291.0,3.6030567215584974,1.3733615618080535,597.0,4594.0,7066.0,3.603453155958109,1.3198294804502673,509.0,4221.0,6645.0,3.657486832204665,1.2579931093489538,408.0,2495.0,4111.0,3.7406956944782292,1.1798780928320356
6,H4C ,51.0,162.0,226.0,3.995575221238938,1.1095456031311777,50.0,120.0,200.0,3.78,1.12602828494335,39.0,83.0,114.0,4.06140350877193,0.9711327909646006,20.0,44.0,64.0,4.140625,0.940570369003627,7.0,8.0,13.0,4.153846153846154,0.8987170342729172
7,85251,826.0,7874.0,12096.0,3.9093088624338623,1.3520309718454175,792.0,5621.0,9501.0,3.881591411430376,1.2940263699362695,648.0,4077.0,7103.0,3.826411375475151,1.2732194443948093,569.0,3349.0,6468.0,3.8364254792826222,1.1986112626204657,486.0,2291.0,4701.0,3.7791959157626036,1.1605946165432928
8,15224,95.0,548.0,748.0,3.823529411764706,1.2908419480621018,89.0,377.0,546.0,3.771062271062271,1.2447193293908618,82.0,348.0,495.0,3.682828282828283,1.2364275628708712,76.0,271.0,430.0,3.7534883720930234,1.14034895023528,51.0,157.0,242.0,3.7644628099173554,1.200923538400421
9,28217,197.0,878.0,1125.0,3.712,1.372936173554621,181.0,564.0,800.0,3.7075,1.2684458773158591,148.0,365.0,534.0,3.795880149812734,1.1915516680904181,132.0,319.0,475.0,3.7578947368421054,1.172071172232364,92.0,156.0,263.0,3.817490494296578,1.0397436995659841
10,85033,61.0,221.0,253.0,3.2292490118577075,1.6362747534260305,41.0,88.0,108.0,3.361111111111111,1.5252291590246172,32.0,76.0,88.0,3.409090909090909,1.467160551403481,30.0,66.0,79.0,3.7974683544303796,1.390256818512902,19.0,36.0,45.0,4.0,1.0660035817780522
11,53703,383.0,2229.0,4688.0,3.891211604095563,1.1877798519772587,370.0,1583.0,3461.0,3.88471540017336,1.1579083999268456,319.0,1220.0,2437.0,3.849405006155109,1.1493075728753048,307.0,1053.0,2104.0,3.807509505703422,1.1829831143711433,281.0,687.0,1706.0,3.7725674091441967,1.1794317819602442
12,89103,559.0,6794.0,8872.0,3.7261045987376016,1.4102397870209509,489.0,4027.0,5497.0,3.6778242677824267,1.3441897974135377,393.0,2977.0,4143.0,3.5981173062997827,1.3208085874644115,339.0,2650.0,3767.0,3.589062914786302,1.2298151910616533,249.0,1676.0,2507.0,3.646589549262066,1.1573834493293054
13,,,,,,,,,,,,,,,,,,,,,,,,,,
14,89032,169.0,965.0,1166.0,3.5934819897084047,1.5622451278815095,138.0,553.0,742.0,3.5026954177897576,1.4673663874205862,108.0,345.0,483.0,3.550724637681159,1.3856909883897595,86.0,247.0,395.0,3.59746835443038,1.2794723178197651,59.0,132.0,205.0,3.4146341463414633,1.3643861249103642
